source_id,2MASS
3326906582588481536,06403010+0957170
3326930045995661824,06403037+0957371
3326930045995672704,06403079+0957595
3326906372140643712,06403170+0956217
3326930080355421824,06403195+0958223
3326906273350840192,06403215+0955514
3326929839837223552,06403219+0957220
3326930080355415168,06403231+0958104
3326930050289781504,06403248+0957424
3326930252154139904,06403260+0959164
3326906303416703232,06403328+0955372
3326930153370297088,06403332+0958529
3326929839837216640,06403346+0957026
3326929839837220352,06403350+0957141
3326906303416421120,06403406+0956330
3326930252154140800,06403410+0959162
3326905345637907840,06403426+0953561
3326906307710574208,06403430+0956229
3326930252159281280,06403436+0959420
3326905341348531840,06403445+0953533
3326905135190103296,06403454+0953197
3326930183434655360,06403472+0958595
3326930252154155520,06403472+0959467
3326929878492392064,06403476+0957422
3326933241451412992,06403476+1000235
3326905345639200512,06403489+0954071
3326930252154150912,06403497+0959353
3326929771117729024,06403550+0956365
3326906303421220480,06403559+0956087
3326929874201879168,06403594+0957410
3326905444427772672,06403634+0954271
3326905547502453760,06403646+0955201
3326930187728722816,06403650+0958256
3326905551797629184,06403654+0955507
3326905036401556480,06403665+0952032
3326930290809247104,06403690+1000179
3326933623703867904,06403696+1001031
3326905547502160640,06403716+0955529
3326905135185229824,06403720+0953102
3326929878492391168,06403728+0957380
3326929977276485248,06403741+0958348
3326905547502149760,06403746+0955212
3326905478782410368,06403749+0954578
3326905478787525504,06403756+0954420
3326929878492390272,06403768+0957489
3326929874201879424,06403789+0957514
3326717359215215872,06403810+0951358
3326933623702545408,06403810+1001152
3326905238264899584,06403818+0954116
3326929977276527360,06403820+0958089
3326929019499472512,06403841+0956042
3326929874196650496,06403842+0957454
3326717363507926656,06403862+0951245
3326929805477482624,06403868+0957149
3326930222088455040,06403880+0959122
3326930222089771520,06403928+0959219
3326929977276481536,06403941+0958173
3326717359219485056,06403945+0951218
3326929015203768960,06403971+0955554
3326717294790476416,06404001+0951046
3326930668766368000,06404018+1000280
3326930668766368128,06404022+1000236
3326929805477768064,06404023+0956565
3326905478783068800,06404041+0954513
3326717294790476160,06404043+0951025
3326905483076854144,06404063+0954488
3326929977276481024,06404067+0958152
3326930703126104576,06404082+1001316
3326905272629132544,06404092+0954108
3326929977276208000,06404096+0958288
3326930703126104064,06404103+1001382
3326905173840508416,06404113+0952565
3326929049563522944,06404113+0956529
3326928946488943744,06404117+0955572
3326905276919722496,06404124+0954308
3326929912850811776,06404125+0958073
3326929049563235840,06404130+0957075
3326717294790475520,06404131+0951023
3326905272623980288,06404136+0954138
3326928946483977088,06404156+0955174
3326930698835890048,06404168+1001233
3326928950778151168,06404170+0955520
3326928950778151296,06404170+0955520
3326928946484374656,06404183+0955330
3326717393579136640,06404184+0951445
3326717290495738496,06404203+0951047
3326930801910032640,06404209+1001427
3326933761141491328,06404210+1002083
3326930698830809856,06404212+1001266
3326905272624539520,06404213+0954481
3326929049563233152,06404213+0957001
3326930634405305472,06404216+1000442
3326930630111310592,06404216+1000442
3326930806205318272,06404227+1001508
3326930806205317888,06404240+1001534
3326928946483975424,06404246+0955172
3326930011636227072,06404246+0959010
3326905272624530304,06404252+0954093
3326905208200246016,06404262+0953477
3326930630111298176,06404266+1000260
3326905272629208320,06404268+0954052
3326930698830798848,06404268+1001079
3326930011635962368,06404276+0958552
3326929049563590144,06404278+0956258
3326930389593101568,06404286+0959292
3326929908556996480,06404291+0957416
3326929908556718208,06404294+0957563
3326928946484374528,06404299+0955308
3326930630111534208,06404312+1000362
3326928950779456640,06404329+0955195
3326717294790475008,06404335+0950595
3326929942916498560,06404357+0958197
3326905203903327104,06404361+0953493
3326717084337101824,06404365+0950324
3326929152642461056,06404380+0957299
3326928740324101760,06404393+0955168
3326905203903327488,06404421+0954083
3326905203903326976,06404424+0953393
3326928985137886464,06404432+0955497
3326928740324113152,06404436+0955193
3326928980842270464,06404442+0955398
3326929942914962816,06404442+0958044
3326930801910032256,06404449+1001406
3326930634406627200,06404451+1000545
3326717084337102208,06404464+0950436
3326717088630017024,06404464+0950436
3326928980842270848,06404470+0955540
3326930806205317248,06404476+1001364
3326929152640978816,06404480+0956478
3326930389591563648,06404481+0959141
3326929191297621120,06404485+0957442
3326930801908225920,06404504+1002082
3326717329150212352,06404506+0951276
3326928774690252160,06404523+0955181
3326929942914948608,06404543+0958040
3326717329150212224,06404553+0951230
3326930393888460288,06404569+0959425
3326929947211863168,06404572+0958288
3326930801908219136,06404577+1001414
3326717427934488064,06404582+0952106
3326930634406627456,06404583+1000271
3326930428248198272,06404587+0959460
3326930423957694080,06404601+0959509
3326930840563726336,06404618+1002139
3326717329148181248,06404622+0951401
3326930836267966336,06404640+1002423
3326930428248198016,06404645+0959463
3326930630109718784,06404663+1000347
3326930320872085504,06404668+0958503
3326928675900247296,06404672+0954246
3326929083921502336,06404675+0956513
3326930428248198144,06404675+0959388
3326930428248197888,06404677+0959540
3326929083921487360,06404682+0957055
3326929191297619712,06404689+0957559
3326928778980764032,06404694+0955036
3326717466589162624,06404695+0952405
3326717531013658752,06404707+0953308
3326929191297620224,06404714+0957427
3326930767548481152,06404716+1001442
3326717535308637184,06404721+0953091
3326929187000718592,06404725+0957591
3326928671604634624,06404736+0954360
3326930836267964160,06404743+1002088
3326930737485840640,06404756+1000573
3326929118281226112,06404768+0957182
3326928671604632704,06404773+0954059
3326741003009940096,06404780+0953552
3326929088217090560,06404788+0956487
3326930733188741120,06404794+1001027
3326717049977363328,06404798+0950260
3326930733188741760,06404798+1001224
3326717122991781504,06404801+0951151
3326741003009940608,06404809+0953393
3326928774683852544,06404810+0955369
3326930320872085760,06404816+0959118
3326930355231810944,06404840+0959392
3326930531326084224,06404852+1000476
3326717226070995328,06404888+0951444
3326929191297618944,06404904+0957450
3326740998714965248,06404911+0954031
3326928705964374528,06404912+0955129
3326929118281227008,06404921+0957387
3326928705964373376,06404926+0954430
3326929569254739584,06404932+0958514
3326717462294180992,06404936+0952539
3326740998714107008,06404953+0953230
3326717462294178944,06404960+0952173
3326930767555080576,06404961+1001140
3326929118281225216,06404962+0956531
3326717462294179840,06404972+0952242
3326717466589159424,06404974+0952586
3326928710259976064,06404981+0955079
3326717221776056448,06404999+0951127
3326717466589160832,06405008+0952275
3326929118281225600,06405014+0957039
3326717462294180736,06405018+0952469
3326929564957826944,06405021+0958316
3326930565687147904,06405029+1001043
3326741037369677312,06405033+0954158
3326717049977363712,06405034+0950391
3326928809043590656,06405047+0955307
3326932245017322752,06405057+1002181
3326928705964373888,06405059+0954573
3326929118281225856,06405066+0957099
3326740930000006272,06405069+0953207
3326717049977363200,06405076+0950253
3326717462294181120,06405081+0952575
3326717462294228224,06405086+0952397
3326928882059976576,06405086+0955530
3326717260431680896,06405089+0952163
3326741037367624704,06405094+0954328
3326741037369677184,06405105+0954076
3326717153056578688,06405113+0950379
3326930771845575808,06405116+1001439
3326928813339187584,06405122+0955233
3326740934288416768,06405130+0953287
3326930565687147008,06405135+1001083
3326930565685818880,06405135+1001083
3326717256140270848,06405138+0952012
3326932313736717312,06405138+1003030
3326740934288416896,06405141+0953243
3326717260431282560,06405148+0951557
3326717260430731648,06405155+0951494
3326717221776057600,06405156+0951275
3326929564957841152,06405161+0958191
3326929564964235136,06405178+0958241
3326928705964382848,06405182+0954567
3326930458310832384,06405186+0959582
3326717260430729984,06405208+0952138
3326930561390048896,06405211+1000506
3326928916419712896,06405219+0956433
3326717260430728832,06405220+0952311
3326928912122809472,06405240+0956365
3326932352392205184,06405245+1003168
3326717157351518336,06405254+0950585
3326717256135796096,06405255+0952059
3326930458310836224,06405261+1000237
3326928912129206272,06405286+0956566
3326740929995534464,06405300+0953236
3326740934290462976,06405302+0952594
3326717157349479040,06405315+0950501
3326932279376978816,06405316+1003025
3326716298357379200,06405322+0949437
3326741136153966592,06405341+0954436
3326929496244758656,06405341+0958017
3326930561390049536,06405364+1001087
3326929500535262464,06405367+0958000
3326717157351517440,06405395+0950580
3326740728129988096,06405410+0952245
3326929702396781568,06405417+0959178
3326928847700236928,06405419+0955519
3326928847698916992,06405419+0956169
3326717157351517696,06405423+0950538
3326928809043598080,06405425+0955341
3326930561390049792,06405432+1001170
3326932279376979072,06405433+1003070
3326740964355273216,06405439+0953292
3326930496968220672,06405441+1000498
3326928847700236288,06405451+0956085
3326932043155894912,06405455+1001507
3326929706693690752,06405459+0958586
3326930496967670912,06405459+1000079
3326740723837102208,06405463+0952252
3326740964355272704,06405486+0953207
3326740723837104000,06405488+0953123
3326716401437823488,06405490+0950123
3326929294376833152,06405490+0957092
3326717191709210752,06405502+0951252
3326716397142282240,06405517+0950498
3326741136153966848,06405523+0955138
3326932279377062016,06405530+1003199
3326740728132033024,06405535+0952159
3326932038858892160,06405550+1002093
3326740659410510976,06405561+0952125
3326717191711253632,06405571+0951138
3326929290079933184,06405572+0957076
3326929294376832384,06405582+0957278
3326717191711252608,06405586+0951304
3326740964359745920,06405590+0953534
3326929637974213248,06405590+0958522
3326931970139322496,06405601+1001060
3326930492677173760,06405618+1000295
3326932382456195328,06405636+1003168
3326929290086328576,06405639+0957083
3326741071729412992,06405650+0954104
3326932073218547328,06405667+1002397
3326929633677303936,06405671+0958331
3326716431502020736,06405680+0950561
3326740655117624448,06405683+0951566
3326932073218547200,06405695+1002337
3326741071729412352,06405698+0954198
3326741067438968704,06405698+0954198
3326932073218546816,06405701+1002281
3326716431506551552,06405702+0950338
3326929221360454912,06405707+0956426
3326741101794228352,06405748+0954573
3326929221360458752,06405753+0956166
3326741170513705344,06405754+0955328
3326929221360456192,06405755+0957039
3326929324439658112,06405758+0958126
3326932382456194432,06405763+1003094
3326929324446067328,06405774+0958163
3326929225657356288,06405783+0956299
3326931214225080576,06405783+1000360
3326716435797008256,06405784+0951089
3326932077514296832,06405798+1002163
3326741067438961664,06405801+0953592
3326716435797007744,06405810+0951134
3326740689477364736,06405813+0952354
3326932382456195200,06405814+1003154
3326741174808624256,06405820+0955445
3326740689477364864,06405822+0952309
3326931970145923840,06405838+1000544
3326932386753276544,06405849+1003249
3326932004499068416,06405863+1001567
3326740865570982400,06405866+0953447
3326932176297763200,06405873+1003001
3326716332715757184,06405875+0949493
3326929221360458880,06405880+0956535
3326929324446067584,06405882+0958017
3326741067438968832,06405886+0954215
3326740865570981632,06405893+0954008
3326739903498311424,06405912+0951530
3326741067438969088,06405919+0954145
3326740758201316608,06405923+0953078
3326741101798707584,06405934+0955201
3326929255720180352,06405938+0957356
3326929672332619136,06405944+0959454
3326929672333948544,06405944+0959454
3326929328736569088,06405949+0957410
3326740861280539136,06405974+0954063
3326932004499068928,06405978+1002126
3326739899203380096,06405983+0951489
3326716122264063232,06405987+0949329
3326740693772293248,06410003+0952178
3326932008796156288,06410008+1001333
3326929427518677504,06410025+0958496
3326740693773246848,06410026+0952150
3326740861280532224,06410035+0953532
3326932176297762944,06410037+1002564
3326740861280539264,06410040+0954100
3326740865570980864,06410043+0954035
3326932176297764608,06410054+1003133
3326932008794819456,06410060+1001551
3326932111875370368,06410065+1002144
3326739903498311808,06410077+0951223
3326739903496265344,06410077+0951223
3326739937858049024,06410080+0952075
3326929260015767808,06410137+0957080
3326931218521066496,06410153+1000365
3326929461878418304,06410168+0959038
3326741484046267776,06410172+0955514
3326932176297763584,06410179+1003023
3326740693772848896,06410188+0952480
3326740689481840896,06410190+0952394
3326716160919101824,06410194+0950037
3326740792561056128,06410206+0952508
3326932210657502848,06410208+1003116
3326739933562218496,06410220+0951519
3326929427525283328,06410221+0958240
3326739933567597056,06410223+0951456
3326739937858048384,06410245+0952249
3326931248584821120,06410248+1001165
3326740792561056512,06410253+0952475
3326739830483849856,06410260+0951026
3326739834779788160,06410266+0950329
3326741479751304704,06410283+0955221
3326931248584820480,06410285+1001355
3326740899930718336,06410286+0953527
3326931248591418624,06410288+1000521
3326740796851503872,06410290+0953360
3326929363096305408,06410328+0957549
3326931248584816000,06410334+1000478
3326741587125480960,06410336+0956529
3326741479751304960,06410354+0955320
3326931179865338752,06410357+1000353
3326929393158941056,06410393+0958094
3326931184161100160,06410399+1000485
3326739937858048000,06410417+0952020
3326739869138571904,06410440+0951501
3326739869138572032,06410443+0951260
3326740796851503744,06410446+0953183
3326739933563070720,06410449+0952127
3326741277887838080,06410456+0954438
3326931184162435200,06410457+1000426
3326740036642287104,06410483+0952254
3326932141938024960,06410496+1003005
3326739628620404352,06410497+0950460
3326739628618357248,06410497+0950460
3326739624325110528,06410510+0950302
3326739869138571776,06410510+0951445
3326929393158941312,06410511+0958461
3326740831209175296,06410512+0953476
3326740831211240960,06410512+0953476
3326931179865338368,06410518+1000189
3326740796851503360,06410521+0953157
3326741514115569152,06410534+0955418
3326741514111044480,06410535+0955562
3326931179865342080,06410543+1000286
3326740826920795648,06410547+0953408
3326741685908694528,06410548+0956534
3326931351664040320,06410549+1002155
3326932141938107904,06410554+1002436
3326931351664034944,06410561+1001168
3326741209168361856,06410568+0954187
3326740040937260160,06410581+0952478
3326741209166292608,06410641+0954107
3326741209168361600,06410641+0954107
3326741273597400704,06410646+0955079
3326740826920796160,06410650+0953453
3326741514109999232,06410669+0956112
3326739658684850816,06410688+0950541
3326931282951157248,06410704+1000525
3326741307952612096,06410712+0955089
3326930874924790656,06410726+0958311
3326739559900928000,06410728+0949566
3326931386023778816,06410730+1002188
3326931386023779712,06410741+1002303
3326932519904093312,06410767+1002586
3326931386023862528,06410810+1001562
3326741209166285184,06410817+0954156
3326740448959197952,06410865+0953466
3326931386023947904,06410879+1002130
3326740075296996736,06410885+0953011
3326741617188918912,06410892+0956476
3326930904994033536,06410895+0959283
3326739972217783552,06410919+0951571
3326740075296996608,06410919+0953015
3326930909284528128,06410929+0959386
3326741415326788480,06410934+0956081
3326931386025942016,06410936+1002075
3326739766059353472,06410948+0951500
3326931076786123776,06410977+1000443
3326931763980985984,06410993+1002495
3326740006577519360,06411038+0953018
3326931321601386240,06411046+1001519
3326741655844953984,06411070+0957424
3326931081081880960,06411070+1000369
3326740448959150080,06411085+0953182
3326931081083218304,06411088+1000409
3326740453254679808,06411095+0954166
3326740006575454080,06411102+0952294
3326740002281694592,06411123+0952556
3326740453254116864,06411145+0953385
3326931317304385920,06411148+1001580
3326931699558507648,06411159+1002235
3326931008068832768,06411183+1000030
3326930909284527744,06411193+0959412
3326931076786123392,06411196+1000249
3326741445390230784,06411197+0956562
3326741239231756416,06411242+0955001
3326739800419650944,06411257+0952311
3326931012363742464,06411270+0959446
3326743129017763328,06411275+0957486
3326740006577518848,06411282+0952433
3326931111145866112,06411285+1001042
3326741346607877248,06411322+0955086
3326741346606643840,06411322+0955086
3326739800419090176,06411330+0951544
3326741342316878720,06411365+0955370
3326741342310109056,06411380+0955439
3326740483318575616,06411430+0954045
3326742922864843776,06411443+0957178
3326740174081288960,06411485+0952343
3326931008066646144,06411489+0959537
3326739727404329088,06411509+0951179
3326931489102986112,06411518+1001364
3326743335177574784,06411521+0959071
3326740590693067520,06411532+0954509
3326743129017439488,06411555+0957465
3326741376671105664,06411587+0955545
3326931042428585728,06411587+1000219
3326740586397053312,06411612+0954326
3326739727409169664,06411614+0951505
3326743167671339904,06411619+0958387
3326931042426390784,06411621+1000482
3326742922859280768,06411648+0957376
3326740109656733440,06411651+0952131
3326742922864844544,06411662+0957132
3326931042426389120,06411675+1000548
3326739727404688128,06411676+0951479
3326743335175888000,06411691+0959158
3326740590694019328,06411696+0954428
3326742922858073344,06411700+0957120
3326740178376209536,06411709+0952405
3326740418894376704,06411714+0953398
3326931489102988800,06411720+1001321
3326740521973590656,06411725+0954323
3326740418892293632,06411727+0953456
3326740517683158912,06411760+0954237
3326740208441027968,06411792+0952541
3326931042428593920,06411797+1000416
3326742858435795968,06411810+0956358
3326742922859277824,06411814+0957106
3326743369537329280,06411821+0959571
3326739727405063296,06411839+0951325
3326740517677229056,06411862+0954074
3326740620762374272,06411906+0955057
3326742854139493376,06411907+0956239
3326743369535893888,06411915+0959456
3326743751789945472,06411937+1000480
3326740315813077760,06411940+0953489
3326742854139856000,06411945+0956338
3326931420383511040,06411945+1000549
3326743266458122496,06411954+0958584
3326743060298238720,06411996+0958358
3326743751788985600,06411996+1000422
3326743060299695488,06411997+0958317
3326743064594222592,06412028+0958295
3326740139721502336,06412029+0952285
3326743369535638656,06412041+0959552
3326742102519455232,06412060+0956309
3326740517677235840,06412063+0954249
3326740552037320192,06412082+0955247
3326743747492769024,06412097+1000194
3326740315815160832,06412110+0953281
3326743064594222080,06412142+0958355
3326740139720522880,06412147+0953016
3326742033802075392,06412185+0955337
3326740242805246592,06412214+0953221
3326740556333326720,06412229+0954520
3326740311524723456,06412253+0953591
3326740552038815488,06412260+0954438
3326743300817884800,06412261+0959190
3326740315815159296,06412262+0953495
3326743060299720192,06412292+0958280
3326743094657977472,06412305+0958403
3326743300816152064,06412325+0959233
3326742029507573376,06412337+0955291
3326743094657712896,06412351+0958585
3326742132586790400,06412356+0956577
3326743098953958528,06412370+0959091
3326743094657723008,06412383+0959275
3326743094659468288,06412388+0959104
3326740242799311360,06412420+0953429
3326742029506069248,06412422+0955178
3326742068161812096,06412424+0956092
3326740345880413056,06412500+0954251
3326742029505753088,06412564+0955351
3326742991580277504,06412589+0957429
3326742235664512000,06412592+0957248
3326742235664220032,06412593+0957153
3326742063865509760,06412598+0956228
3326742995874744704,06412610+0957459
3326742235664221568,06412615+0957213
